campus_id,group_field_id,campus_name_th,graduate_rate,updated_at,university_name_th,university_name_en,_id,major_id,employment_rate,group_field_th,faculty_name_en,program_name_en,major_acceptance_number,major_name_en,faculty_name_th,program_partners_id,median_salary,major_name_th,program_type_name_th,university_type_name_th,field_name_en,program_id,field_name_th,number_acceptance_mko2,program_running_number,campus_name_en,university_id,cost,created_at,program_partners_inter_name,country_partners_name,university_type_id,faculty_id,program_type_id,field_id,program_name_th,latitude,longitude
1,30,หาดใหญ่,0,2025-05-06T15:02:39.000Z,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,67908d2fabce0e88a58016bc,,0,วิศวกรรมศาสตร์,Faculty of  Engineering,Bachelor of Engineering Program in Artificial Intelligence Engineering,0.0,,คณะวิศวกรรมศาสตร์,0,,,ภาษาไทย ปกติ,ทปอ.,Computer Engineering,10100101300502A,วิศวกรรมคอมพิวเตอร์,30,2,Hat Yai Campus,10,"อัตราค่าเล่าเรียน 28,000.-/ภาคการศึกษา",2025-02-19T06:01:36.883Z,0.0,0,1,1,A,5,วศ.บ. วิศวกรรมปัญญาประดิษฐ์,7.0069589,100.5007596
3,30,ภูเก็ต,0,2025-05-29T08:45:43.508Z,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,67908d2fabce0e88a580174c,,0,วิศวกรรมศาสตร์,College of Computing,Bachelor of Engineering Programe in Artificial Intelligence and System Engineering,0.0,,วิทยาลัยการคอมพิวเตอร์,0,,,ภาษาไทย ปกติ,ทปอ.,Artificial Intelligence Engineering,10100329303701A,วิศวกรรมปัญญาประดิษฐ์,30,1,Phuket Campus,10,"อัตราค่าเล่าเรียน 38,000 บาทต่อภาคการศึกษา (เรียน 6 ภาคการศึกษา) หรือตลอดหลักสูตร 228,000 บาท และต้องชำระค่าธรรมเนียมแรกเข้าอีก 15,000 บาท",2025-02-19T06:01:36.954Z,0.0,0,1,29,A,37,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ,7.0069589,100.5007596
1,30,บางมด,,2025-06-04T03:12:25.207Z,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,King Mongkut's University of Technology Thonburi,673825ac7f0a424cb40dc3a3,,0,วิศวกรรมศาสตร์,College of Multidisciplinary Sciences,Bachelor of Engineering Program in Intelligence Systems Engineering 4-year undergraduate program (Rajaburi educational region),0.0,Intelligence Systems Engineering - B.Eng. (Rajaburi Educational Region),วิทยาลัยสหวิทยาการ,0,0,วิศวกรรมระบบอัจฉริยะ - วศ.บ 4 ปี (พื้นที่การศึกษาราชบุรี),ภาษาไทย ปกติ,ทปอ.,Artificial Intelligence Engineering,10140136303701A,วิศวกรรมปัญญาประดิษฐ์,200,1,Bangmod,14,https://kmutt.me/TUITION-FEES-BS-KMUTT,2024-11-16T04:55:07.903Z,0.0,0,1,36,A,37,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมระบบอัจฉริยะ ปริญญาตรี 4 ปี (พื้นที่การศึกษาราชบุรี),13.6517717,100.4944087
1,30,ลาดกระบัง,ไม่ระบุ,2025-05-29T02:52:30.660Z,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,6785d9d5101a33578cf512be,,ไม่ระบุ,วิศวกรรมศาสตร์,School of Engineering,B.Eng. Ai Engineering and Entrepreneurship (International Program) Joint Degree between KMITL and Bangkok University,0.0,,คณะวิศวกรรมศาสตร์,0,ไม่ระบุ,,Joint Degree - นานาชาติ,ทปอ.,Artificial Intelligence Engineering,10160101303701I,วิศวกรรมปัญญาประดิษฐ์,40,1,Lankrabang,16,"175,000 ต่อภาคการศึกษา",2025-01-14T03:28:20.986Z,0.0,นานาชาติ,1,1,I,37,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และการเป็นผู้ประกอบการ (หลักสูตรนานาชาติ) (หลักสูตรร่วม สจล. และ ม.กรุงเทพ),13.7299068,100.7829827
1,30,วิทยาเขตหลัก,0,2025-05-02T11:42:25.777Z,มหาวิทยาลัยอุบลราชธานี,Ubon Ratchathani University,68117e987b26120da7a39b98,,0,วิศวกรรมศาสตร์,FacultyofEngineering,Bachelor of Engineering Program in Artificial Intelligence and Prompt Engineering,0.0,,คณะวิศวกรรมศาสตร์,0,0,,ภาษาไทย ปกติ,ทปอ.,Artificial Intelligence Engineering,10180113303703A,วิศวกรรมปัญญาประดิษฐ์,40,3,MainCampus,18,"อัตราค่าเล่าเรียน  28,000 ต่อภาคการศึกษา หรือ 224,000 ตลอดหลักสูตร",2025-05-01T02:32:50.629Z,0.0,0,1,13,A,37,วศ.บ.สาขาวิชาวิศวกรรมปัญญาประดิษฐ์และการสั่งการ,15.1272915,104.9194652
1,30,สงขลา,,2025-05-28T04:24:27.712Z,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,Rajamangala University of Technology Srivijaya,672478b13308001e079bee99,,,วิศวกรรมศาสตร์,Faculty of Engineering,Artificial Intelligence and Digital Innovation Engineering,0.0,,คณะวิศวกรรมศาสตร์,0,,,ภาษาไทย ปกติ,มทร.,Computer Engineering,31970104300502A,วิศวกรรมคอมพิวเตอร์,35,2,Songkhla,197,"110,000",2024-11-01T06:44:01.391Z,0.0,0,3,4,A,5,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล,7.2011363,100.6014053
1,30,แจ้งวัฒนะ นนทบุรี,ร้อยละ 97 ของนักศึกษาปีการศึกษา 2566,2024-11-05T06:50:31.733Z,สถาบันการจัดการปัญญาภิวัฒน์,Panyapiwat Institute of Management,67176366002ce3d244ca7354,,ร้อยละ 96 ของผู้จบการศึกษา,วิศวกรรมศาสตร์,Faculty of Engineering and Technology,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,0.0,,คณะวิศวกรรมศาสตร์และเทคโนโลยี,0,"25,520 บาท",,ภาษาไทย ปกติ,เอกชน,Artificial Intelligence Engineering,49180101303701A,วิศวกรรมปัญญาประดิษฐ์,140,1,Chaengwattana Nonthaburi Campus,918,"อัตราค่าเล่าเรียน 384,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)",2024-10-22T08:33:42.609Z,0.0,0,4,1,A,37,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,13.9016954,100.5317945
1,30,วิทยาเขตหลัก,ร้อยละ 86.8 ต่อปีการศึกษา,2025-05-08T09:34:24.194Z,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,6715fb30deea14086a61f770,,,วิศวกรรมศาสตร์,Faculty of Engineering,Bachelor of Engineering Program in Computer Engineering,0.0,,คณะวิศวกรรมศาสตร์,0,,,ภาษาไทย ปกติ,ทปอ.,Computer Engineering,10010121300501A,วิศวกรรมคอมพิวเตอร์,140,1,Main Campus,1,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",2024-10-21T06:56:48.514Z,0.0,0,1,21,A,5,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,13.7431114,100.5328752
1,30,วิทยาเขตหลัก,ร้อยละ 86.8 ต่อปีการศึกษา,2025-05-08T09:34:24.207Z,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,6715fb30deea14086a61f771,,,วิศวกรรมศาสตร์,Faculty of Engineering,Bachelor of Engineering Program in Computer Engineering and Digital Technology,0.0,,คณะวิศวกรรมศาสตร์,0,,,ภาษาไทย ปกติ,ทปอ.,Computer Engineering,10010121300599A,วิศวกรรมคอมพิวเตอร์,300,99,Main Campus,1,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",2024-10-21T06:56:48.514Z,0.0,0,1,21,A,5,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,13.7431114,100.5328752
1,30,บางเขน,0,2025-02-13T04:04:51.841Z,มหาวิทยาลัยเกษตรศาสตร์,KASETSART UNIVERSITY,675909b2e91ba6d6195da911,,0,วิศวกรรมศาสตร์,Engineering,B.Eng. (Computer Engineering),,,คณะวิศวกรรมศาสตร์,,0.00,,ภาษาไทย ปกติ,ทปอ.,Computer Engineering,10020105300501A,วิศวกรรมคอมพิวเตอร์,70,1,Bangkhen,2,0,2024-12-11T03:40:34.263Z,,,1,5,A,5,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,13.8482589,100.5675435
2,30,กำแพงแสน,0,2025-05-06T02:46:20.682Z,มหาวิทยาลัยเกษตรศาสตร์,KASETSART UNIVERSITY,675909b2e91ba6d6195da890,,0,วิศวกรรมศาสตร์,Engineering at Kamphaeng Saen,B.Eng. (Computer Engineering),,,คณะวิศวกรรมศาสตร์ กำแพงแสน,,-,,ภาษาไทย ปกติ,ทปอ.,Computer Engineering,10020220300501A,วิศวกรรมคอมพิวเตอร์,60,1,Kamphaeng Saen Campus,2,"156,000",2024-12-11T03:40:34.224Z,,,1,20,A,5,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,13.8482589,100.5675435
3,30,ศรีราชา,ร้อยละ 60.38,2025-05-06T02:46:21.389Z,มหาวิทยาลัยเกษตรศาสตร์,KASETSART UNIVERSITY,675909b2e91ba6d6195da973,,ร้อยละ 80.28,วิศวกรรมศาสตร์,Engineering at Sri Racha,B.Eng. (Computer Engineering and Informatics),,,คณะวิศวกรรมศาสตร์ ศรีราชา,,"22,805.26",,ภาษาไทย ปกติ,ทปอ.,Computer Engineering,10020328300502A,วิศวกรรมคอมพิวเตอร์,100,2,Sri Racha Campus,2,"232,800",2024-12-11T03:40:34.339Z,,,1,28,A,5,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์,13.8482589,100.5675435
4,30,เฉลิมพระเกียรติ จ.สกลนคร,0,2025-05-29T01:40:04.604Z,มหาวิทยาลัยเกษตรศาสตร์,KASETSART UNIVERSITY,675909b2e91ba6d6195da874,,0,วิศวกรรมศาสตร์,Science and Engineering,B.Eng. (Computer Engineering),,,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,,0.00,,ภาษาไทย ปกติ,ทปอ.,Computer Engineering,10020430300501A,วิศวกรรมคอมพิวเตอร์,60,1,Chalermphrakiat Sakon Nakhon Province Campus,2,0,2024-12-11T03:40:34.214Z,,,1,30,A,5,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,13.8482589,100.5675435
1,30,ขอนแก่น,,2025-05-08T14:18:38.408Z,มหาวิทยาลัยขอนแก่น,Khon Kaen University,672aceb0756528cab15c6e16,,,วิศวกรรมศาสตร์,Engineering,Bachelor of Engineering (Computer Engineering),,,คณะวิศวกรรมศาสตร์,,,,ภาษาไทย ปกติ,ทปอ.,Computer Engineering,10030104300501A,วิศวกรรมคอมพิวเตอร์,80,1,Khon Kaen,3,ค่าธรรมเนียมการศึกษา (ชาวไทย) 20000 บาท/เทอม,2025-05-05T15:09:46.778Z,,,1,4,A,5,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์,16.4591873,102.8119933
1,30,วิทยาเขตหลัก,61.50,2025-05-08T10:05:26.235Z,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,678620836cdabea1af62b266,,53.13,วิศวกรรมศาสตร์,Faculty of Engineering,,0.0,,คณะวิศวกรรมศาสตร์,0,"23,188",,ภาษาไทย ปกติ,ทปอ.,Computer Engineering,10040106300501A,วิศวกรรมคอมพิวเตอร์,60,1,MainCampus,4,"184,000",2025-01-14T08:29:54.838Z,0.0,0,1,6,A,5,วศ.บ.วิศวกรรมคอมพิวเตอร์,18.8009264,98.9521552
1,30,วิทยาเขตหลัก,69.44,2025-05-28T09:28:33.609Z,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,678620836cdabea1af62b268,,62.50,วิศวกรรมศาสตร์,Faculty of Engineering,,0.0,,คณะวิศวกรรมศาสตร์,0,"25,000",,นานาชาติ,ทปอ.,Computer Engineering,10040106300502E,วิศวกรรมคอมพิวเตอร์,40,2,MainCampus,4,"400,000",2025-01-14T08:29:54.838Z,0.0,0,1,6,E,5,วศ.บ.วิศวกรรมระบบสารสนเทศและเครือข่าย,18.8009264,98.9521552
